,ARTS94,ARTS300,ARTS3k,LR-ARTS94,LR-ARTS300,LR-ARTS3k,SDA,ST-sent,ST-para,D-Wiki,Average
SLE,"0.702 [0.582, 0.792]","0.642 [0.570, 0.704]","0.613 [0.591, 0.635]","0.330 [0.136, 0.499]","0.377 [0.275, 0.470]","0.351 [0.319, 0.382]","0.029 [0.051, 0.109]","0.340 [0.296, 0.382]","0.020 [0.100, 0.138]","0.087 [0.007, 0.166]",0.349
LENS-SALSA,,,,,,,"0.573 [0.517, 0.624]","0.238 [0.192, 0.284]","0.066 [0.053, 0.184]","0.448 [0.382, 0.510]",0.331
Claude(simp+ref),,,,,,,"0.639 [0.589, 0.684]","0.026 [0.023, 0.075]","0.154 [0.036, 0.269]","0.497 [0.435, 0.555]",0.329
GPT-4o-mini (pairwise),,,,,,,"0.354 [0.282, 0.422]","0.381 [0.338, 0.422]","0.298 [0.186, 0.403]","0.234 [0.157, 0.309]",0.317
SARI,,,,,,,"0.328 [0.255, 0.398]","0.218 [0.138, 0.295]","0.317 [0.125, 0.487]","0.368 [0.297, 0.435]",0.308
bertscore_f1,,,,,,,"0.476 [0.411, 0.535]","0.235 [0.189, 0.281]","0.174 [0.056, 0.287]","0.335 [0.262, 0.404]",0.305
Gemma-4-E4B (pairwise),,,,,,,"0.378 [0.307, 0.445]","0.320 [0.275, 0.363]","0.220 [0.103, 0.330]","0.278 [0.203, 0.350]",0.299
BERTScore_P,,,,,,,"0.567 [0.510, 0.619]","0.164 [0.116, 0.211]","0.063 [0.057, 0.181]","0.389 [0.319, 0.455]",0.296
FKGL,"0.588 [0.438, 0.707]","0.499 [0.409, 0.580]","0.492 [0.464, 0.518]","0.251 [0.051, 0.431]","0.255 [0.146, 0.357]","0.268 [0.235, 0.301]","0.070 [0.010, 0.149]","0.320 [0.275, 0.363]","0.009 [0.110, 0.128]","0.087 [0.007, 0.166]",0.284
D-SARI,,,,,,,"0.328 [0.255, 0.398]","0.226 [0.180, 0.272]","0.173 [0.055, 0.286]","0.368 [0.297, 0.435]",0.274
rouge2,,,,,,,"0.334 [0.261, 0.404]","0.385 [0.343, 0.426]","0.201 [0.084, 0.313]","0.175 [0.097, 0.252]",0.274
bertscore_r,,,,,,,"0.365 [0.294, 0.432]","0.243 [0.197, 0.288]","0.222 [0.105, 0.332]","0.237 [0.160, 0.311]",0.267
dsari_keep,,,,,,,"0.305 [0.230, 0.376]","0.121 [0.072, 0.168]","0.121 [0.002, 0.237]","0.486 [0.422, 0.545]",0.258
Word_Count,"0.661 [0.530, 0.762]","0.524 [0.436, 0.601]","0.530 [0.504, 0.556]","0.000 [0.203, 0.203]","0.000 [0.113, 0.113]","0.000 [0.036, 0.036]","0.030 [0.051, 0.109]","0.339 [0.295, 0.382]","0.021 [0.098, 0.140]","0.344 [0.272, 0.413]",0.245
ROUGE-L,,,,,,,"0.280 [0.205, 0.353]","0.332 [0.288, 0.375]","0.145 [0.026, 0.259]","0.207 [0.129, 0.282]",0.241
rouge1,,,,,,,"0.242 [0.165, 0.316]","0.335 [0.291, 0.377]","0.117 [0.002, 0.233]","0.210 [0.132, 0.285]",0.226
BLEU,,,,,,,"0.255 [0.178, 0.328]","0.348 [0.304, 0.390]","0.228 [0.112, 0.338]","0.058 [0.022, 0.137]",0.222
dsari_add,,,,,,,"0.269 [0.194, 0.342]","0.126 [0.078, 0.174]","0.164 [0.046, 0.278]","0.307 [0.233, 0.378]",0.217
dsari_delete,,,,,,,"0.140 [0.061, 0.218]","0.331 [0.286, 0.373]","0.218 [0.102, 0.329]","0.115 [0.035, 0.193]",0.201
Llama-3.1-8B (pairwise),,,,,,,"0.349 [0.276, 0.417]","0.055 [0.006, 0.103]","0.176 [0.058, 0.289]","0.193 [0.115, 0.269]",0.193
Avg_Word_Len,"0.319 [0.124, 0.490]","0.023 [0.090, 0.136]","0.149 [0.114, 0.184]","0.407 [0.222, 0.563]","0.151 [0.038, 0.260]","0.231 [0.197, 0.265]","0.067 [0.013, 0.146]","0.002 [0.047, 0.050]","0.174 [0.056, 0.287]","0.058 [0.022, 0.137]",0.158
Random,"0.212 [0.009, 0.397]","0.006 [0.107, 0.119]","0.027 [0.009, 0.063]","0.057 [0.148, 0.256]","0.043 [0.070, 0.156]","0.029 [0.007, 0.065]","0.040 [0.040, 0.120]","0.024 [0.024, 0.073]","0.016 [0.103, 0.135]","0.013 [0.067, 0.093]",0.047
Shuffle,"0.045 [0.159, 0.245]","0.124 [0.011, 0.234]","0.006 [0.030, 0.042]","0.041 [0.163, 0.241]","0.081 [0.032, 0.193]","0.012 [0.024, 0.048]","0.037 [0.043, 0.117]","0.024 [0.024, 0.073]","0.071 [0.049, 0.189]","0.021 [0.059, 0.101]",0.046
Ministral-8B (pairwise),,,,,,,,"0.020 [0.028, 0.069]","0.018 [0.101, 0.137]","0.005 [0.075, 0.085]",0.014
